"GRANTEE"	"PRIVILEGE"	"ADMIN_OPTION"	"COMMON"	"INHERITED"
"DBA"	"CREATE ANY SQL PROFILE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ADMINISTER ANY SQL TUNING SET"	"NO"	"YES"	"NO"
"SYS"	"ADMINISTER SQL TUNING SET"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ADMINISTER SQL TUNING SET"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY SQL PROFILE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY SQL PROFILE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY SQL PROFILE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY SQL PROFILE"	"NO"	"YES"	"NO"
"SCHEDULER_ADMIN"	"EXECUTE ANY CLASS"	"YES"	"YES"	"NO"
"DBA"	"CREATE JOB"	"NO"	"YES"	"NO"
"ORACLE_OCM"	"CREATE JOB"	"NO"	"YES"	"NO"
"OEM_MONITOR"	"ADVISOR"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY RULE"	"NO"	"YES"	"NO"
"DBA"	"IMPORT FULL DATABASE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY RULE SET"	"YES"	"YES"	"NO"
"SYS"	"EXECUTE ANY EVALUATION CONTEXT"	"YES"	"YES"	"NO"
"WMSYS"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"SYS"	"ADMINISTER RESOURCE MANAGER"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY OUTLINE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY CONTEXT"	"NO"	"YES"	"NO"
"SYS"	"DEQUEUE ANY QUEUE"	"YES"	"YES"	"NO"
"SYSTEM"	"ENQUEUE ANY QUEUE"	"YES"	"YES"	"NO"
"SYS"	"ALTER ANY DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"CREATE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY INDEXTYPE"	"NO"	"YES"	"NO"
"SYS"	"QUERY REWRITE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY INDEXTYPE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY INDEXTYPE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY INDEXTYPE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"EXECUTE ANY OPERATOR"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY OPERATOR"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY OPERATOR"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY LIBRARY"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY LIBRARY"	"NO"	"YES"	"NO"
"WMSYS"	"EXECUTE ANY TYPE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY TYPE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY TYPE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY TYPE"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE TYPE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"SYSTEM"	"CREATE MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"SYS"	"GRANT ANY PRIVILEGE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"GRANT ANY PRIVILEGE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"ANALYZE ANY"	"NO"	"YES"	"NO"
"DATAPUMP_IMP_FULL_DATABASE"	"ALTER RESOURCE COST"	"NO"	"YES"	"NO"
"MDSYS"	"CREATE TRIGGER"	"NO"	"YES"	"NO"
"DBSNMP"	"CREATE PROCEDURE"	"NO"	"YES"	"NO"
"SYSRAC"	"ALTER DATABASE"	"NO"	"YES"	"NO"
"DBA"	"AUDIT ANY"	"NO"	"YES"	"NO"
"SYS"	"CREATE ROLE"	"NO"	"YES"	"NO"
"DBA"	"DROP PUBLIC DATABASE LINK"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE PUBLIC DATABASE LINK"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"CREATE DATABASE LINK"	"NO"	"YES"	"NO"
"WMSYS"	"SELECT ANY SEQUENCE"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY SEQUENCE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY SEQUENCE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"CREATE SEQUENCE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"DROP ANY INDEX"	"NO"	"YES"	"NO"
"WMSYS"	"ALTER ANY INDEX"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY CLUSTER"	"NO"	"YES"	"NO"
"SYSBACKUP"	"CREATE ANY CLUSTER"	"NO"	"YES"	"NO"
"SYS"	"REDEFINE ANY TABLE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"DELETE ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"LOCK ANY TABLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"BACKUP ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY TABLE"	"NO"	"YES"	"NO"
"WMSYS"	"ALTER USER"	"NO"	"YES"	"NO"
"SYSTEM"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"XDB"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"RECOVERY_CATALOG_OWNER"	"ALTER SESSION"	"NO"	"YES"	"NO"
"XDB"	"ALTER SESSION"	"NO"	"YES"	"NO"
"XS_CONNECT"	"CREATE SESSION"	"NO"	"YES"	"NO"
"DBSFWUSER"	"CREATE SESSION"	"NO"	"YES"	"NO"
"DBA"	"AUDIT SYSTEM"	"NO"	"YES"	"NO"
"AUDIT_ADMIN"	"AUDIT SYSTEM"	"NO"	"YES"	"NO"
"SYS"	"CREATE LOGICAL PARTITION TRACKING"	"NO"	"YES"	"NO"
"DBA"	"ENABLE DIAGNOSTICS"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY HIERARCHY"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY ATTRIBUTE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"SCHEDULER_ADMIN"	"CREATE ANY CREDENTIAL"	"YES"	"YES"	"NO"
"SYS"	"SET CONTAINER"	"NO"	"YES"	"NO"
"DBA"	"SET CONTAINER"	"NO"	"YES"	"NO"
"ORACLE_OCM"	"SET CONTAINER"	"NO"	"YES"	"NO"
"SYS"	"CREATE PLUGGABLE DATABASE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"INHERIT ANY PRIVILEGES"	"NO"	"YES"	"NO"
"XDB"	"INHERIT ANY PRIVILEGES"	"NO"	"YES"	"NO"
"DBA"	"USE ANY SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"SYS"	"CREATE SQL TRANSLATION PROFILE"	"NO"	"YES"	"NO"
"SYS"	"ADMINISTER SQL MANAGEMENT OBJECT"	"NO"	"YES"	"NO"
"DBA"	"UPDATE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY CUBE BUILD PROCESS"	"NO"	"YES"	"NO"
"OLAP_USER"	"CREATE MEASURE FOLDER"	"NO"	"YES"	"NO"
"OLAP_DBA"	"CREATE ANY CUBE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY CUBE"	"NO"	"YES"	"NO"
"SYS"	"INSERT ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY CUBE DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"COMMENT ANY MINING MODEL"	"NO"	"YES"	"NO"
"SYS"	"SELECT ANY MINING MODEL"	"NO"	"YES"	"NO"
"SYS"	"CREATE MINING MODEL"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY ASSEMBLY"	"NO"	"YES"	"NO"
"SCHEDULER_ADMIN"	"CREATE EXTERNAL JOB"	"YES"	"YES"	"NO"
"SYS"	"CREATE ANY SQL PROFILE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"CREATE JOB"	"NO"	"YES"	"NO"
"SYS"	"ADVISOR"	"NO"	"YES"	"NO"
"DBA"	"ADVISOR"	"NO"	"YES"	"NO"
"SYSUMF_ROLE"	"ADVISOR"	"NO"	"YES"	"NO"
"SYS"	"CREATE EVALUATION CONTEXT"	"YES"	"YES"	"NO"
"EXP_FULL_DATABASE"	"FLASHBACK ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"DEBUG CONNECT ANY"	"NO"	"YES"	"NO"
"AUDSYS"	"SELECT ANY DICTIONARY"	"NO"	"YES"	"NO"
"MDSYS"	"ADMINISTER DATABASE TRIGGER"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY OUTLINE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY OUTLINE"	"NO"	"YES"	"NO"
"DVSYS"	"DROP ANY CONTEXT"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY CONTEXT"	"NO"	"YES"	"NO"
"DVSYS"	"CREATE ANY CONTEXT"	"NO"	"YES"	"NO"
"DBA"	"DEQUEUE ANY QUEUE"	"NO"	"YES"	"NO"
"DBA"	"ENQUEUE ANY QUEUE"	"NO"	"YES"	"NO"
"SYS"	"MANAGE ANY QUEUE"	"YES"	"YES"	"NO"
"SYSTEM"	"MANAGE ANY QUEUE"	"YES"	"YES"	"NO"
"OEM_MONITOR"	"MANAGE ANY QUEUE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY DIMENSION"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY DIMENSION"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY INDEXTYPE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY INDEXTYPE"	"NO"	"YES"	"NO"
"SYS"	"EXECUTE ANY OPERATOR"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY LIBRARY"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY LIBRARY"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY TYPE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY TYPE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY DIRECTORY"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY MATERIALIZED VIEW"	"NO"	"YES"	"NO"
"SYS"	"ANALYZE ANY"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY TRIGGER"	"NO"	"YES"	"NO"
"AVTUNE_PKG_ROLE"	"CREATE TRIGGER"	"NO"	"YES"	"NO"
"DBA"	"EXECUTE ANY PROCEDURE"	"NO"	"YES"	"NO"
"WMSYS"	"EXECUTE ANY PROCEDURE"	"NO"	"YES"	"NO"
"SYS"	"DROP ANY PROCEDURE"	"NO"	"YES"	"NO"
"DBA"	"DROP ANY PROCEDURE"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY PROCEDURE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY PROCEDURE"	"NO"	"YES"	"NO"
"SYSDG"	"ALTER DATABASE"	"NO"	"YES"	"NO"
"GSMADMIN_INTERNAL"	"ALTER DATABASE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"AUDIT ANY"	"NO"	"YES"	"NO"
"DBA"	"ALTER ANY ROLE"	"NO"	"YES"	"NO"
"DBA"	"GRANT ANY ROLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP ANY ROLE"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"DROP PUBLIC DATABASE LINK"	"NO"	"YES"	"NO"
"SYS"	"CREATE DATABASE LINK"	"NO"	"YES"	"NO"
"MDSYS"	"CREATE ANY SEQUENCE"	"NO"	"YES"	"NO"
"DBA"	"CREATE SEQUENCE"	"NO"	"YES"	"NO"
"WMSYS"	"DROP ANY VIEW"	"NO"	"YES"	"NO"
"WMSYS"	"CREATE ANY VIEW"	"NO"	"YES"	"NO"
"OLAP_DBA"	"CREATE ANY VIEW"	"NO"	"YES"	"NO"
"CTXSYS"	"CREATE VIEW"	"NO"	"YES"	"NO"
"SYS"	"ALTER ANY INDEX"	"NO"	"YES"	"NO"
"SYS"	"CREATE ANY INDEX"	"NO"	"YES"	"NO"
"IMP_FULL_DATABASE"	"CREATE ANY INDEX"	"NO"	"YES"	"NO"
"WMSYS"	"DELETE ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"UPDATE ANY TABLE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"INSERT ANY TABLE"	"NO"	"YES"	"NO"
"SYS"	"SELECT ANY TABLE"	"YES"	"YES"	"NO"
"WMSYS"	"DROP ANY TABLE"	"NO"	"YES"	"NO"
"EXP_FULL_DATABASE"	"BACKUP ANY TABLE"	"NO"	"YES"	"NO"
"DBA"	"CREATE ANY TABLE"	"NO"	"YES"	"NO"
"SYSBACKUP"	"CREATE ANY TABLE"	"NO"	"YES"	"NO"
"OLAP_DBA"	"CREATE ANY TABLE"	"NO"	"YES"	"NO"
"DATAPUMP_EXP_FULL_DATABASE"	"CREATE TABLE"	"NO"	"YES"	"NO"
"MDSYS"	"CREATE TABLE"	"NO"	"YES"	"NO"
"SYS"	"CREATE ROLLBACK SEGMENT"	"NO"	"YES"	"NO"
"SYS"	"BECOME USER"	"NO"	"YES"	"NO"
"GGSYS"	"UNLIMITED TABLESPACE"	"NO"	"YES"	"NO"
"DBA"	"MANAGE TABLESPACE"	"NO"	"YES"	"NO"
"EM_EXPRESS_ALL"	"ALTER TABLESPACE"	"NO"	"YES"	"NO"
"SYS"	"RESTRICTED SESSION"	"NO"	"YES"	"NO"
"AUDSYS"	"ALTER SESSION"	"NO"	"YES"	"NO"
"SYSBACKUP"	"ALTER SESSION"	"NO"	"YES"	"NO"
"SYSRAC"	"ALTER SESSION"	"NO"	"YES"	"NO"
"CTXSYS"	"ALTER SESSION"	"NO"	"YES"	"NO"
"SYS"	"CREATE SESSION"	"NO"	"YES"	"NO"
"SYS$UMF"	"CREATE SESSION"	"NO"	"YES"	"NO"
"OEM_MONITOR"	"CREATE SESSION"	"NO"	"YES"	"NO"
"CTXSYS"	"CREATE SESSION"	"NO"	"YES"	"NO"
